                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 0.6265,                0.41353,                0.88933,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00070038,             0.00070038,             0.00070038
                     43,                0.58445,                0.39202,                0.88201,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     44,                0.59102,                0.39416,                0.87472,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065323,             0.00065323,             0.00065323
                     45,                0.59786,                0.38632,                0.87327,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00062965,             0.00062965,             0.00062965
                     46,                0.59302,                0.37926,                0.87385,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00060607,             0.00060607,             0.00060607
                     47,                0.58843,                0.37173,                0.88156,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005825,              0.0005825,              0.0005825
                     48,                0.59028,                0.36872,                0.87755,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055892,             0.00055892,             0.00055892
                     49,                0.54592,                0.36025,                0.87378,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053535,             0.00053535,             0.00053535
                     50,                 0.5298,                0.34964,                0.85829,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     51,                0.52966,                0.33546,                0.85485,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00048819,             0.00048819,             0.00048819
                     52,                0.53233,                0.34573,                 0.8535,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00046462,             0.00046462,             0.00046462
                     53,                0.50653,                0.33919,                0.85783,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00044104,             0.00044104,             0.00044104
                     54,                0.52621,                0.35329,                0.86612,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041746,             0.00041746,             0.00041746
                     55,                0.48641,                0.33052,                0.84267,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00039389,             0.00039389,             0.00039389
                     56,                  0.477,                  0.319,                0.84686,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00037031,             0.00037031,             0.00037031
                     57,                0.50482,                 0.3206,                0.86183,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     58,                0.48468,                0.32051,                0.86081,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00032316,             0.00032316,             0.00032316
                     59,                0.48386,                0.31305,                0.83898,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00029958,             0.00029958,             0.00029958
                     60,                0.48216,                0.31997,                0.85291,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00027601,             0.00027601,             0.00027601
                     61,                0.44134,                0.28146,                0.82985,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00025243,             0.00025243,             0.00025243
                     62,                 0.4182,                0.27086,                0.82584,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022886,             0.00022886,             0.00022886
                     63,                0.40935,                0.26995,                0.82369,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020528,             0.00020528,             0.00020528
                     64,                0.39348,                0.25943,                0.83007,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     65,                0.39683,                0.25599,                0.80656,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00015813,             0.00015813,             0.00015813
                     66,                0.37937,                0.25072,                0.82017,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013455,             0.00013455,             0.00013455
                     67,                0.36354,                0.24227,                0.80106,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00011097,             0.00011097,             0.00011097
                     68,                0.37125,                0.23787,                0.80693,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     69,                 0.3833,                0.25394,                0.80332,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             6.3822e-05,             6.3822e-05,             6.3822e-05
                     70,                0.37585,                0.25178,                0.80848,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             4.0246e-05,             4.0246e-05,             4.0246e-05
